"R0000100","R0069500","R0536300","R0536402","R0538700","R0554500","R0554800","R1201300","R1236000","R1482600","R1487700","R2463300","R2600200","R2729700","R3481900","R3776700","R3876300","R3884701","R3885200","R3885300","R3885400","R3899100","R3923600","R3925200","R3925300","R5511700","R9829600","S7513500","S7521300","S7521400","S7521500","S7521600","S7521700","S7521800","S7521900","S7522000","S7522100","T0013900","T0022000","T0022100","T0022200","T0022300","T0022400","T0022500","T0022600","T0022700","Z9083800"
1,1,2,1981,1,1,1,3,-3,4,0,3,2,3,1,3,18,12,1,6,0,1,2,1,2,13,45070,16,2143,-4,-4,-4,-4,-4,-4,-4,-4,16,2473,2622,-4,-4,-4,-4,-4,-4,16
2,1,1,1982,5,-4,-4,-4,2,2,1,3,2,2,1,3,17,11,2,4,2,1,2,0,1,16,58483,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,14
3,2,2,1983,5,1,-2,1,2,2,1,3,4,1,3,3,16,10,4,2,1,1,3,0,2,19,27978,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
4,2,2,1981,5,1,1,3,2,2,0,3,2,1,1,3,18,12,4,2,0,1,2,0,1,18,37012,13,1538,-4,-4,-4,-4,-4,-4,-4,-4,13,1868,-4,-4,-4,-4,-4,-4,-4,13
5,2,1,1982,1,-2,-2,3,3,2,5,3,-3,3,1,3,17,11,1,4,2,1,-3,3,2,14,-4,12,1200,2667,-4,-4,-4,-4,-4,-4,-4,12,1301,-4,-4,-4,-4,-4,-4,-4,12
6,2,2,1982,5,2,2,1,4,2,1,3,4,1,1,3,17,11,4,5,3,1,4,0,0,14,22001,12,1190,-4,-4,-4,-4,-4,-4,-4,-4,12,1304,-4,-4,-4,-4,-4,-4,-4,14
7,2,1,1983,5,2,2,1,1,2,0,2,4,1,3,3,16,-3,4,5,2,1,4,1,1,16,3585,11,1000,1500,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,11
8,2,2,1981,1,2,-2,3,2,4,0,3,2,3,1,3,18,12,1,5,1,1,2,0,2,14,-4,16,2000,-4,-4,-4,-4,-4,-4,-4,-4,16,2000,-4,-4,-4,-4,-4,-4,-4,18
9,2,1,1982,1,2,-2,3,3,4,0,3,-3,3,2,3,17,11,1,5,2,1,-3,0,1,13,-4,17,1584,2000,-4,-4,-4,-4,-4,-4,-4,17,1752,2500,-4,-4,-4,-4,-4,-4,18
10,1,1,1984,1,2,-2,3,3,4,1,1,2,3,2,3,15,9,1,5,1,1,2,0,0,15,-4,16,1200,-4,-4,-4,-4,-4,-4,-4,-4,16,1679,1250,-4,-4,-4,-4,-4,-4,16
11,2,2,1982,5,1,1,1,4,2,1,3,4,1,2,3,17,11,1,5,2,1,4,0,3,16,30583,14,1200,-4,-4,-4,-4,-4,-4,-4,-4,14,1595,1200,-4,-4,-4,-4,-4,-4,16
12,2,1,1981,5,1,1,1,4,2,1,3,4,1,1,3,18,11,10,4,0,1,4,0,1,18,-4,13,1899,5,1500,-4,-4,-4,-4,-4,-4,13,2500,-3,-4,-4,-4,-4,-4,-4,14
13,2,1,1984,5,-4,-4,-4,2,2,0,3,3,1,4,3,15,9,4,4,3,1,4,0,0,12,67533,10,-3,2766,-4,-4,-4,-4,-4,-4,-4,10,2235,-4,-4,-4,-4,-4,-4,-4,10
14,2,1,1980,5,1,0,1,4,2,0,3,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11
15,3,2,1983,5,-4,-4,-4,2,2,0,2,1,1,1,2,17,9,1,4,2,0,1,1,0,16,26024,14,1025,914,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,14
16,3,1,1982,5,-2,-2,3,2,2,3,3,2,1,2,3,17,10,4,2,1,1,2,0,1,15,44451,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,16
17,2,2,1981,5,-2,-2,1,-3,2,3,3,-4,1,2,3,18,10,3,5,0,1,-3,0,3,14,30811,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,10
18,3,1,1982,2,-2,-2,1,2,1,1,3,2,1,1,3,17,9,4,8,-3,1,1,0,2,11,9339,9,1616,-3,-4,-4,-4,-4,-4,-4,-4,9,2000,897,1280,-4,-4,-4,-4,-4,13
19,1,1,1984,2,-2,-2,1,2,1,2,2,2,1,2,2,15,8,4,8,-3,1,1,4,0,17,8334,-3,-3,2050,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3
20,1,1,1980,2,2,-2,1,2,1,0,3,2,1,4,-4,19,8,4,3,1,1,-4,0,2,13,11025,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,8
21,2,1,1982,5,-2,-2,3,2,2,3,2,2,1,1,3,17,8,4,4,1,1,2,0,1,19,3505,8,-3,-4,-4,-4,-4,-4,-4,-4,-4,8,870,-4,-4,-4,-4,-4,-4,-4,8
22,2,1,1982,5,1,1,1,4,2,1,3,3,1,3,3,17,10,4,2,1,1,3,0,0,16,10443,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,13,2383,-4,-4,-4,-4,-4,-4,-4,13
23,3,2,1983,5,0,3,3,2,2,1,2,-3,1,4,3,16,9,4,3,2,1,4,1,0,14,6423,13,-3,-4,-4,-4,-4,-4,-4,-4,-4,14,2857,2548,-4,-4,-4,-4,-4,-4,16
24,2,1,1984,5,1,1,3,1,2,3,2,2,1,3,2,15,7,4,5,4,1,-3,5,1,11,6120,8,1875,900,-4,-4,-4,-4,-4,-4,-4,8,12778,1000,-4,-4,-4,-4,-4,-4,8
25,2,2,1983,5,0,0,1,2,2,0,2,2,1,5,3,16,8,1,6,4,1,2,1,0,14,5403,8,2885,-4,-4,-4,-4,-4,-4,-4,-4,8,6250,-4,-4,-4,-4,-4,-4,-4,8
26,2,1,1980,2,1,1,1,2,1,0,3,3,2,3,3,19,11,-3,2,0,1,-3,0,1,-4,12866,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,11,-4,-4,-4,-4,-4,-4,-4,-4,11
27,1,1,1981,2,1,1,1,2,1,2,-5,-5,1,2,3,18,-3,4,7,4,1,-3,0,2,13,9161,-3,750,-4,-4,-4,-4,-4,-4,-4,-4,-3,840,-4,-4,-4,-4,-4,-4,-4,-3
28,1,2,1983,2,2,2,2,2,1,0,2,2,1,2,3,16,10,2,4,2,1,2,0,0,14,17058,18,1490,675,-4,-4,-4,-4,-4,-4,-4,17,1227,-4,-4,-4,-4,-4,-4,-4,17
29,3,2,1983,1,3,3,2,3,4,1,3,3,2,2,3,17,10,1,5,3,1,3,0,0,17,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11
30,2,1,1981,1,3,3,1,2,4,0,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,36755,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,10
31,2,1,1982,4,-4,-4,-4,2,4,2,3,3,1,2,3,17,11,1,5,1,1,3,0,1,15,62806,16,2163,-4,-4,-4,-4,-4,-4,-4,-4,16,3300,2200,-4,-4,-4,-4,-4,-4,16
32,1,2,1981,1,-4,-4,-4,4,4,0,3,4,1,1,3,18,12,1,3,0,1,4,0,1,-5,39949,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,18
33,2,2,1980,1,1,1,1,-3,4,0,3,-3,3,1,5,18,13,1,5,0,1,-4,0,1,11,96655,16,945,155,-4,-4,-4,-4,-4,-4,-4,16,915,192,2000,-4,-4,-4,-4,-4,16
34,2,2,1984,1,5,3,2,3,4,0,1,-3,1,1,3,15,9,1,5,1,1,-3,0,2,12,35107,16,-3,-3,-4,-4,-4,-4,-4,-4,-4,17,1143,-3,-4,-4,-4,-4,-4,-4,17
35,2,1,1983,4,-4,-4,-4,3,4,0,1,3,1,1,3,16,9,1,4,2,1,3,0,0,16,59270,16,700,-4,-4,-4,-4,-4,-4,-4,-4,16,1800,-3,-4,-4,-4,-4,-4,-4,16
36,4,2,1980,1,3,3,1,3,4,7,3,3,1,3,-4,19,12,1,5,2,1,-4,0,0,10,52192,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,15
37,2,2,1980,1,3,3,1,3,4,0,3,3,1,1,5,19,13,1,4,0,1,-4,0,0,14,82912,17,1654,2000,1500,-4,-4,-4,-4,-4,-4,17,1937,-4,-4,-4,-4,-4,-4,-4,17
38,2,2,1981,1,3,3,1,3,4,0,3,3,1,1,3,18,12,1,4,0,1,4,0,0,15,68753,16,2000,1500,-4,-4,-4,-4,-4,-4,-4,16,2500,3000,1500,-4,-4,-4,-4,-4,16
39,2,1,1980,1,1,1,3,2,2,2,3,1,3,1,5,19,13,1,4,1,1,-4,0,3,15,45900,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,16,1700,-4,-4,-4,-4,-4,-4,-4,16
40,2,2,1984,4,-4,-4,-4,3,4,0,1,2,1,4,2,15,8,1,5,1,1,-3,0,0,15,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,13
41,1,2,1983,4,-4,-4,-4,2,4,1,2,3,1,1,3,16,10,1,6,3,1,3,3,3,16,88652,16,-3,1015,-4,-4,-4,-4,-4,-4,-4,16,2946,-4,-4,-4,-4,-4,-4,-4,17
42,1,1,1983,4,-4,-4,-4,2,4,1,2,2,1,3,3,16,9,1,6,2,1,2,1,0,17,44217,16,950,900,750,-4,-4,-4,-4,-4,-4,16,1200,-4,-4,-4,-4,-4,-4,-4,17
43,1,2,1981,2,-2,-2,1,-3,1,0,3,-3,2,3,3,18,11,4,3,0,1,-3,1,3,14,22965,13,700,753,788,-4,-4,-4,-4,-4,-4,13,-3,700,-4,-4,-4,-4,-4,-4,13
44,1,1,1981,2,1,3,3,4,2,2,3,4,1,2,3,18,11,1,5,2,1,-3,0,0,17,25325,13,-3,-4,-4,-4,-4,-4,-4,-4,-4,13,1034,-4,-4,-4,-4,-4,-4,-4,13
45,2,2,1984,2,-2,-2,1,2,1,0,2,-3,1,1,3,16,9,7,5,2,1,-3,0,0,13,-4,11,675,-4,-4,-4,-4,-4,-4,-4,-4,11,882,-4,-4,-4,-4,-4,-4,-4,13
46,4,1,1984,2,-2,-2,1,2,1,0,2,2,1,1,1,15,8,4,7,6,1,-3,10,2,10,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,95
47,2,2,1982,2,0,1,1,2,1,0,3,2,1,1,3,17,11,8,3,2,1,2,0,1,14,46475,14,725,812,-4,-4,-4,-4,-4,-4,-4,14,900,-4,-4,-4,-4,-4,-4,-4,14
48,3,2,1983,2,0,1,1,2,1,1,2,-3,1,1,3,16,10,8,3,2,1,-3,-4,-4,16,63769,15,1255,-4,-4,-4,-4,-4,-4,-4,-4,16,1332,-4,-4,-4,-4,-4,-4,-4,16
49,1,2,1982,2,5,3,1,1,1,0,3,-3,1,1,3,17,11,2,3,1,1,-3,0,0,18,79413,12,1667,-4,-4,-4,-4,-4,-4,-4,-4,12,1959,-4,-4,-4,-4,-4,-4,-4,12
50,2,2,1983,2,-2,-2,1,1,1,0,2,1,1,2,2,16,8,4,4,3,1,2,0,0,16,-4,10,925,-4,-4,-4,-4,-4,-4,-4,-4,10,875,-4,-4,-4,-4,-4,-4,-4,13
51,2,1,1980,2,2,-2,1,3,1,0,3,3,1,2,-4,19,12,4,5,3,1,-4,0,1,17,51057,14,750,869,750,-4,-4,-4,-4,-4,-4,14,1000,975,800,711,-4,-4,-4,-4,14
52,4,1,1983,2,2,-2,1,2,1,0,2,3,1,1,3,16,10,4,5,3,1,3,0,0,18,29824,12,-3,-4,-4,-4,-4,-4,-4,-4,-4,12,2089,1350,1373,-4,-4,-4,-4,-4,14
53,1,2,1984,2,3,-2,1,2,1,0,2,-3,1,2,3,15,10,1,4,2,1,2,0,0,14,47134,12,1300,-4,-4,-4,-4,-4,-4,-4,-4,12,1366,1419,-4,-4,-4,-4,-4,-4,12
54,2,2,1984,2,0,0,1,1,1,2,2,2,6,3,2,15,-3,9,5,2,1,-3,-4,1,14,58541,-3,625,-4,-4,-4,-4,-4,-4,-4,-4,13,928,-4,-4,-4,-4,-4,-4,-4,16
55,1,2,1981,1,-2,-2,1,3,2,0,3,3,3,2,3,18,12,1,8,2,1,3,0,2,14,53241,15,945,-4,-4,-4,-4,-4,-4,-4,-4,15,1473,-4,-4,-4,-4,-4,-4,-4,16
56,2,2,1982,1,5,7,1,3,4,0,3,3,2,1,3,17,11,1,4,1,1,3,0,2,17,96703,17,500,-3,-4,-4,-4,-4,-4,-4,-4,18,5000,2261,1488,-4,-4,-4,-4,-4,18
57,1,1,1982,2,5,-2,3,-4,1,0,3,1,5,3,3,17,10,1,3,1,1,1,0,0,20,-4,12,995,850,-4,-4,-4,-4,-4,-4,-4,12,1196,-4,-4,-4,-4,-4,-4,-4,12
58,1,1,1983,2,3,0,1,2,1,5,2,2,1,3,3,16,10,1,4,2,1,2,0,0,20,15235,14,1583,-3,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,15
59,2,2,1981,2,2,3,1,3,1,2,3,3,1,4,3,18,12,9,3,0,1,3,0,0,18,56429,15,1800,1432,-3,1400,-4,-4,-4,-4,-4,15,1600,1731,-4,-4,-4,-4,-4,-4,15
60,1,1,1984,5,1,1,3,3,4,0,2,2,3,1,2,15,7,2,6,4,1,1,0,0,18,1355,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,15,750,-4,-4,-4,-4,-4,-4,-4,18
61,2,2,1983,2,-2,-2,3,-4,1,0,2,-3,1,1,3,16,10,4,6,4,1,3,1,1,16,44495,14,700,-4,-4,-4,-4,-4,-4,-4,-4,14,1270,1050,-4,-4,-4,-4,-4,-4,14
62,1,1,1980,2,4,3,1,1,1,0,3,1,5,2,5,19,13,1,4,1,1,-4,0,1,18,73429,17,1420,975,-4,-4,-4,-4,-4,-4,-4,17,1683,-3,1331,-4,-4,-4,-4,-4,17
63,2,2,1984,2,4,3,1,1,1,0,2,1,5,2,2,15,9,1,4,1,1,1,0,1,13,52921,16,800,950,1168,-4,-4,-4,-4,-4,-4,15,875,-4,-4,-4,-4,-4,-4,-4,16
64,3,1,1980,2,-4,-4,-4,3,1,7,3,2,1,1,3,19,12,1,6,0,1,2,0,0,18,34197,14,1426,1137,-4,-4,-4,-4,-4,-4,-4,14,1532,-4,-4,-4,-4,-4,-4,-4,14
65,2,1,1984,2,0,-2,3,2,1,1,2,3,1,4,3,15,9,1,7,2,1,2,0,0,17,27471,14,1000,-4,-4,-4,-4,-4,-4,-4,-4,14,900,-4,-4,-4,-4,-4,-4,-4,14
66,1,1,1980,2,-1,-1,2,2,1,0,3,-3,3,1,3,19,12,3,7,0,1,3,0,0,18,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,19,7500,1300,1000,2708,-4,-4,-4,-4,20
67,2,1,1980,2,-1,-1,2,4,1,1,3,3,1,2,5,19,13,1,7,0,1,-4,0,0,17,-4,18,1000,-4,-4,-4,-4,-4,-4,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,19
68,1,1,1981,2,-1,-1,3,3,1,1,3,3,1,3,3,18,11,3,7,0,1,3,0,1,12,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,15
69,2,2,1981,2,1,1,3,3,1,1,3,3,1,3,3,18,12,1,4,1,1,4,0,0,13,81315,18,1825,-4,-4,-4,-4,-4,-4,-4,-4,18,3800,1875,-4,-4,-4,-4,-4,-4,18
70,2,1,1982,2,1,1,3,3,1,2,3,3,1,2,3,17,11,1,5,1,1,4,0,1,16,56708,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,16,800,-4,-4,-4,-4,-4,-4,-4,16
71,1,1,1980,2,3,2,1,3,1,0,3,3,3,3,3,20,12,5,3,0,1,3,0,0,18,-4,13,1147,-4,-4,-4,-4,-4,-4,-4,-4,13,1167,1465,-4,-4,-4,-4,-4,-4,13
72,2,2,1982,2,-4,-4,-4,2,1,0,3,2,2,3,3,17,11,4,4,2,1,2,0,1,14,-4,14,935,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
73,2,1,1984,2,-4,-4,-4,2,1,0,2,-3,1,2,3,15,9,4,4,2,1,-3,1,0,13,-4,14,2212,921,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,14
74,1,1,1983,1,3,2,1,1,4,0,2,1,5,1,2,16,9,1,4,2,1,1,0,0,18,-4,16,349,-4,-4,-4,-4,-4,-4,-4,-4,16,547,1200,-4,-4,-4,-4,-4,-4,20
75,2,1,1982,4,-4,-4,-4,3,4,0,3,3,1,1,3,17,11,3,5,2,1,3,0,0,16,7556,15,1025,5000,-4,-4,-4,-4,-4,-4,-4,15,1635,-4,-4,-4,-4,-4,-4,-4,15
76,2,1,1982,4,-4,-4,-4,4,4,0,3,2,2,2,3,17,11,3,4,1,1,2,0,0,17,34058,12,-4,1341,-4,-4,-4,-4,-4,-4,-4,12,2056,-4,-4,-4,-4,-4,-4,-4,14
77,1,2,1984,2,1,3,1,3,2,0,2,3,3,1,2,14,9,1,5,3,1,-3,0,0,19,-4,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,15
78,2,2,1981,1,-2,-2,1,-3,4,0,3,-3,1,3,3,18,11,4,2,0,1,-3,1,2,14,29032,14,700,-4,-4,-4,-4,-4,-4,-4,-4,14,-4,-4,-4,-4,-4,-4,-4,-4,14
79,1,1,1983,1,1,1,3,3,2,5,1,-3,3,3,3,15,9,4,4,2,1,3,2,3,13,10563,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,9,1210,-4,-4,-4,-4,-4,-4,-4,13
80,2,1,1981,2,4,-2,1,3,1,2,3,2,1,3,3,18,10,4,4,2,1,-3,0,3,18,11014,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,11,800,-4,-4,-4,-4,-4,-4,-4,11
81,1,2,1984,2,-2,-2,1,3,1,3,2,3,1,3,2,15,8,4,3,1,1,2,0,0,18,2390,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,11,-4,-4,-4,-4,-4,-4,-4,-4,11
82,1,1,1984,5,2,-2,3,3,2,0,2,2,1,2,3,15,9,4,8,5,1,2,0,1,13,69940,13,1000,-4,-4,-4,-4,-4,-4,-4,-4,14,1050,-4,-4,-4,-4,-4,-4,-4,16
83,2,1,1981,5,1,0,3,-3,2,0,3,3,1,1,3,18,11,4,4,1,1,3,0,0,20,8011,12,1382,-4,-4,-4,-4,-4,-4,-4,-4,12,1300,-4,-4,-4,-4,-4,-4,-4,12
84,3,2,1984,5,1,0,3,3,2,0,2,4,1,2,3,15,9,4,4,1,1,3,0,1,20,42129,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12,-4,-4,-4,-4,-4,-4,-4,-4,16
85,2,1,1984,1,2,7,1,-3,4,0,2,3,1,1,3,15,9,4,4,3,1,-3,3,2,18,70113,12,1000,-4,-4,-4,-4,-4,-4,-4,-4,12,1200,1429,-4,-4,-4,-4,-4,-4,12
86,3,2,1980,1,-2,3,1,3,4,1,3,3,1,3,3,19,12,1,5,0,1,3,0,2,18,13722,16,1700,-4,-4,-4,-4,-4,-4,-4,-4,16,1688,1800,-4,-4,-4,-4,-4,-4,18
87,3,1,1984,1,1,1,1,-4,2,0,2,-3,3,2,3,15,9,1,4,2,1,-3,0,0,20,75575,14,2500,-4,-4,-4,-4,-4,-4,-4,-4,14,4622,-4,-4,-4,-4,-4,-4,-4,15
88,3,1,1981,1,-4,-4,-4,-3,4,0,3,-3,1,1,3,18,-3,1,3,0,1,3,0,1,19,5929,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12
89,1,1,1981,1,-4,-4,-4,3,4,0,3,3,1,2,3,17,12,1,8,6,1,3,0,2,14,78892,16,1088,-4,-4,-4,-4,-4,-4,-4,-4,16,1839,1250,1100,-4,-4,-4,-4,-4,20
90,3,1,1981,2,3,3,2,3,2,0,3,3,1,2,3,18,11,1,4,1,1,3,1,0,16,-4,12,950,-4,-4,-4,-4,-4,-4,-4,-4,13,1170,-4,-4,-4,-4,-4,-4,-4,16
91,1,2,1982,2,3,3,2,-4,2,0,3,-3,1,1,3,17,11,1,4,1,1,-3,0,0,18,-4,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,15,1980,-4,-4,-4,-4,-4,-4,-4,16
92,2,1,1983,3,3,3,3,-4,4,0,2,1,1,3,2,16,9,1,4,2,1,1,0,0,16,4355,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,14,-4,-4,-4,-4,-4,-4,-4,-4,12
93,2,1,1983,1,1,0,2,3,2,0,2,3,1,3,2,16,9,1,4,2,1,-3,0,0,14,5351,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,950,-4,-4,-4,-4,-4,-4,-4,13
94,2,2,1980,2,3,3,1,3,1,2,3,3,2,2,4,19,13,4,3,1,1,-4,0,2,12,79941,14,1954,-4,-4,-4,-4,-4,-4,-4,-4,14,1410,-4,-4,-4,-4,-4,-4,-4,14
95,1,1,1982,5,1,1,3,2,2,0,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,27977,11,2000,-4,-4,-4,-4,-4,-4,-4,-4,11,2250,-3,-4,-4,-4,-4,-4,-4,11
96,1,1,1982,4,3,4,3,-4,4,0,3,-3,5,3,3,17,11,1,4,-3,1,-3,0,0,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
97,2,1,1980,1,1,3,1,3,2,2,3,3,1,1,4,19,13,1,4,0,1,-4,0,2,14,58177,16,2500,-4,-4,-4,-4,-4,-4,-4,-4,16,2692,-4,-4,-4,-4,-4,-4,-4,16
98,2,1,1980,4,-4,-4,-4,-4,4,0,3,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16,44306,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,18
99,1,1,1982,5,1,1,2,3,2,0,3,3,1,1,3,17,10,2,5,2,1,2,0,1,15,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11
100,1,2,1981,2,0,0,3,3,1,2,3,3,1,4,3,18,11,4,3,0,1,-3,1,1,12,10086,11,1106,1000,-4,-4,-4,-4,-4,-4,-4,11,-3,-4,-4,-4,-4,-4,-4,-4,11
101,3,2,1981,2,0,-2,1,3,1,1,3,3,1,1,3,18,11,4,6,4,1,3,0,1,15,-4,12,-3,-3,-4,-4,-4,-4,-4,-4,-4,12,950,-4,-4,-4,-4,-4,-4,-4,12
102,3,2,1982,1,3,3,1,3,2,3,3,3,1,2,3,17,11,1,5,3,1,3,0,3,15,35316,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16,-3,2500,-4,-4,-4,-4,-4,-4,16
103,1,2,1983,1,3,3,1,4,2,0,1,3,3,3,3,16,10,1,5,3,1,4,0,2,17,66575,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12
104,2,2,1980,1,7,3,1,3,4,2,3,3,3,2,5,19,13,1,6,2,1,-4,0,3,15,58482,16,2388,2011,-4,-4,-4,-4,-4,-4,-4,16,2500,-4,-4,-4,-4,-4,-4,-4,16
105,2,1,1983,1,7,3,1,4,4,1,2,3,3,3,3,16,10,1,6,2,1,3,1,1,18,74883,12,1250,1800,-4,-4,-4,-4,-4,-4,-4,12,1635,-4,-4,-4,-4,-4,-4,-4,12
106,3,1,1981,1,5,7,1,3,4,2,3,2,3,4,3,18,12,1,4,0,1,2,0,2,12,34516,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,14
107,1,2,1982,1,5,5,1,3,4,1,3,3,3,1,3,17,11,1,6,4,1,4,0,1,14,94837,16,1733,2244,-4,-4,-4,-4,-4,-4,-4,16,2720,-4,-4,-4,-4,-4,-4,-4,18
108,1,1,1984,1,5,5,1,4,4,1,1,2,3,1,3,15,9,1,6,4,1,2,0,2,15,83765,16,1285,-4,-4,-4,-4,-4,-4,-4,-4,16,1490,1353,-4,-4,-4,-4,-4,-4,16
109,1,2,1982,1,3,3,1,3,4,0,3,4,2,2,3,17,11,1,6,4,1,4,0,2,15,90866,16,1794,-4,-4,-4,-4,-4,-4,-4,-4,16,1812,-4,-4,-4,-4,-4,-4,-4,16
110,1,2,1984,1,3,3,1,4,4,0,1,3,3,2,3,15,9,1,6,4,1,4,2,2,15,43864,16,825,-4,-4,-4,-4,-4,-4,-4,-4,17,900,-4,-4,-4,-4,-4,-4,-4,18
111,1,2,1981,1,1,1,1,3,4,2,3,3,3,2,3,18,12,6,4,0,1,4,0,3,19,82318,16,2193,-4,-4,-4,-4,-4,-4,-4,-4,16,2019,-4,-4,-4,-4,-4,-4,-4,16
112,1,2,1984,1,-4,-4,-4,3,4,0,2,3,1,2,3,15,9,1,4,2,1,4,0,0,18,57727,16,1250,875,700,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,18
113,1,1,1984,1,4,3,1,3,4,4,2,4,1,2,3,15,9,4,5,4,1,4,0,1,18,76838,16,1430,1325,-4,-4,-4,-4,-4,-4,-4,17,1125,800,-4,-4,-4,-4,-4,-4,17
114,2,2,1982,1,1,1,1,3,4,1,3,3,3,2,3,17,11,1,3,1,1,4,2,3,14,65345,12,-3,1285,1550,-4,-4,-4,-4,-4,-4,13,1071,45000,-4,-4,-4,-4,-4,-4,16
115,1,2,1984,1,3,7,3,3,2,1,2,4,1,3,3,15,9,4,2,1,1,4,0,1,13,53132,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,10
116,2,1,1984,2,3,3,1,2,1,3,1,3,1,3,1,15,8,10,2,2,1,-3,0,0,-5,-4,12,1192,-4,-4,-4,-4,-4,-4,-4,-4,12,1675,1125,-4,-4,-4,-4,-4,-4,12
117,1,1,1984,2,3,3,1,2,1,0,1,3,1,2,1,15,8,5,3,2,1,2,0,0,-5,-4,12,1150,-4,-4,-4,-4,-4,-4,-4,-4,12,900,1078,-4,-4,-4,-4,-4,-4,12
118,2,1,1980,1,3,2,1,1,4,2,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,17,-5,17,1789,-4,-4,-4,-4,-4,-4,-4,-4,17,1919,-4,-4,-4,-4,-4,-4,-4,17
119,2,1,1982,1,3,7,2,1,4,0,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,33091,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16,2000,1500,-4,-4,-4,-4,-4,-4,16
