"R0000100","R0069500","R0536300","R0536402","R0538700","R0554500","R0554800","R1201300","R1236000","R1482600","R1487700","R2463300","R2600200","R2729700","R3481900","R3776700","R3876300","R3884701","R3885200","R3885300","R3885400","R3899100","R3923600","R3925200","R3925300","R5511700","R9829600","S7513500","S7521300","S7521400","S7521500","S7521600","S7521700","S7521800","S7521900","S7522000","S7522100","T0013900","T0022000","T0022100","T0022200","T0022300","T0022400","T0022500","T0022600","T0022700","Z9083800"
3913,1,2,1984,1,3,3,3,2,4,0,2,-3,4,2,2,16,9,2,4,2,1,4,1,1,13,8275,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,10
3914,2,1,1981,1,-2,-2,1,2,4,0,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,9
3915,1,1,1983,1,3,3,1,1,4,2,2,1,4,1,2,16,10,2,3,1,1,1,1,0,18,34061,13,1700,-3,-4,-4,-4,-4,-4,-4,-4,14,1791,1275,-4,-4,-4,-4,-4,-4,14
3916,2,2,1983,4,1,1,3,2,4,0,2,4,1,1,3,16,10,3,3,1,1,4,0,0,19,95754,13,1393,1300,1449,-4,-4,-4,-4,-4,-4,13,1475,-4,-4,-4,-4,-4,-4,-4,16
3917,3,1,1980,2,3,2,1,2,2,3,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,18,7931,11,1541,-4,-4,-4,-4,-4,-4,-4,-4,11,1587,-4,-4,-4,-4,-4,-4,-4,11
3918,2,1,1983,2,3,2,1,1,1,0,2,-3,1,3,3,15,9,1,7,3,1,2,0,0,13,0,-3,800,880,-4,-4,-4,-4,-4,-4,-4,-3,924,-4,-4,-4,-4,-4,-4,-4,-3
3919,2,2,1982,2,3,3,1,1,1,4,2,-3,1,3,3,17,8,8,2,1,1,1,1,2,16,4392,8,1167,900,900,-4,-4,-4,-4,-4,-4,8,-3,1000,-4,-4,-4,-4,-4,-4,8
3920,2,2,1984,2,4,3,1,4,1,0,2,4,1,1,2,14,8,1,5,3,1,4,0,-4,12,14216,12,900,-3,-4,-4,-4,-4,-4,-4,-4,12,-3,-4,-4,-4,-4,-4,-4,-4,12
3921,2,1,1981,2,-4,-4,-4,2,1,3,3,2,1,1,3,18,8,10,2,0,1,-3,1,1,14,6940,8,990,850,-4,-4,-4,-4,-4,-4,-4,8,952,-4,-4,-4,-4,-4,-4,-4,8
3922,1,2,1982,2,-4,-4,-4,1,1,1,2,3,1,2,3,17,9,10,6,3,1,3,0,0,13,710,9,700,900,-4,-4,-4,-4,-4,-4,-4,9,775,-4,-4,-4,-4,-4,-4,-4,9
3923,2,1,1982,2,-4,-4,-4,1,1,1,2,2,1,2,3,17,9,10,7,6,1,2,0,0,20,9831,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,9,-4,-4,-4,-4,-4,-4,-4,-4,9
3924,1,2,1983,2,-4,-4,-4,1,1,0,2,1,1,2,3,16,9,3,4,2,1,1,1,0,-5,1658,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,9,-4,-4,-4,-4,-4,-4,-4,-4,9
3925,1,2,1983,2,-4,-4,-4,1,1,0,2,2,1,1,2,16,7,4,9,6,1,2,1,0,13,5406,7,1100,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,7
3926,2,2,1983,2,-4,-4,-4,2,1,1,2,-3,1,2,2,16,8,4,3,2,1,2,0,0,15,1732,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,-4,-4,-4,-4,-4,-4,-4,-4,10
3927,1,2,1981,2,-4,-4,-4,2,1,1,3,2,1,2,3,18,10,10,2,1,1,2,0,0,18,-4,10,800,-4,-4,-4,-4,-4,-4,-4,-4,10,900,750,-4,-4,-4,-4,-4,-4,10
3928,3,2,1984,2,-4,-4,-4,2,1,1,2,-3,1,2,2,14,7,4,3,2,1,1,1,0,16,2493,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,-4,-4,-4,-4,-4,-4,-4,-4,10
3929,2,1,1982,2,3,1,1,1,1,0,2,2,1,2,3,17,10,2,4,2,2,2,0,1,17,10672,11,905,600,-4,-4,-4,-4,-4,-4,-4,11,1072,-4,-4,-4,-4,-4,-4,-4,11
3930,3,2,1980,5,-4,-4,-4,1,2,0,-4,-4,1,2,-4,19,7,10,3,0,1,-4,0,2,-5,-4,7,633,575,813,665,-4,-4,-4,-4,-4,7,525,633,-4,-4,-4,-4,-4,-4,7
3931,2,1,1982,5,-4,-4,-4,1,2,2,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,13,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6
3932,2,2,1980,5,-2,1,2,2,2,0,3,2,2,3,-4,19,10,10,1,0,1,-4,1,3,12,-4,10,1587,1436,-4,-4,-4,-4,-4,-4,-4,10,1673,-4,-4,-4,-4,-4,-4,-4,14
3933,2,2,1980,5,2,1,1,-4,2,2,-4,-4,1,2,-4,19,8,10,1,0,2,-4,0,1,14,-4,8,897,-4,-4,-4,-4,-4,-4,-4,-4,8,775,825,-4,-4,-4,-4,-4,-4,8
3934,2,2,1982,5,-4,-4,-4,2,2,2,3,2,1,3,3,17,11,10,3,2,1,2,2,0,16,-4,12,-3,-4,-4,-4,-4,-4,-4,-4,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,13
3935,1,2,1981,2,4,3,1,2,1,0,3,4,1,2,3,17,11,1,3,1,1,4,0,0,17,35803,16,972,-4,-4,-4,-4,-4,-4,-4,-4,16,-3,969,-4,-4,-4,-4,-4,-4,16
3936,2,1,1984,1,1,1,1,2,4,3,2,1,1,3,2,14,8,2,4,2,1,-3,2,3,16,56976,11,825,-4,-4,-4,-4,-4,-4,-4,-4,11,1050,-3,-4,-4,-4,-4,-4,-4,11
3937,2,2,1984,1,5,4,3,2,4,0,2,1,1,3,2,15,8,2,4,2,1,1,0,1,17,71841,13,1181,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
3938,2,1,1982,4,-4,-4,-4,-3,4,4,3,-3,1,2,3,17,11,1,4,2,1,-3,1,0,7,72386,16,1032,-4,-4,-4,-4,-4,-4,-4,-4,17,1067,1000,-4,-4,-4,-4,-4,-4,17
3939,1,2,1982,1,4,5,1,2,4,0,3,2,1,3,3,17,11,4,2,1,1,2,1,0,16,93719,17,1115,515,643,-4,-4,-4,-4,-4,-4,18,585,1213,667,1015,-4,-4,-4,-4,20
3940,1,2,1983,2,-4,-4,-4,4,1,1,1,4,1,3,3,15,9,9,3,1,1,4,1,3,7,62677,11,1438,1047,-4,-4,-4,-4,-4,-4,-4,11,1437,-4,-4,-4,-4,-4,-4,-4,11
3941,2,2,1984,1,3,4,1,1,4,0,-5,-5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,15353,12,725,650,-4,-4,-4,-4,-4,-4,-4,12,-3,-4,-4,-4,-4,-4,-4,-4,12
3942,1,1,1980,2,2,-2,1,-3,1,4,3,-3,1,1,-4,19,12,4,2,0,1,-4,2,3,20,-4,12,650,-4,-4,-4,-4,-4,-4,-4,-4,12,743,-4,-4,-4,-4,-4,-4,-4,12
3943,1,2,1980,1,1,3,1,1,4,1,3,1,4,2,3,19,12,10,2,0,1,1,0,1,13,88401,15,1429,-4,-4,-4,-4,-4,-4,-4,-4,15,1250,-4,-4,-4,-4,-4,-4,-4,15
3944,1,1,1982,1,1,3,1,1,4,1,3,1,4,1,3,17,11,5,2,1,1,1,0,0,17,99296,18,78000,6000,1500,333,-4,-4,-4,-4,-4,19,5000,1125,78000,-4,-4,-4,-4,-4,19
3945,3,2,1980,1,3,3,1,3,4,0,-4,-4,1,2,-4,19,8,2,5,1,1,-4,0,1,18,-4,8,900,900,-4,-4,-4,-4,-4,-4,-4,8,700,900,-4,-4,-4,-4,-4,-4,8
3946,2,1,1982,1,3,3,1,2,4,0,2,3,1,2,2,17,9,2,5,2,1,-3,0,0,14,-4,12,349,1100,700,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,13
